failure_scenario,variant,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
F1,V1,DAF,10,0.9006800000000001,0.9004,0.002738531642241066,0.8991,0.9023,0.0031999999999999806,0.8962,0.9052,0.8989826405029512,0.9023773594970491
F1,V1,RRR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1,V1,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1,V1,P95,10,42.6122,45.5925,7.95101945664831,37.536,47.557,10.021,26.189,51.242,37.68410708414868,47.540292915851325
F1,V1,P99,10,53.308800000000005,55.314499999999995,7.206960058782681,48.375,57.879,9.503999999999998,38.825,62.035,48.841879876843606,57.775720123156404
F1,V1,throughput,10,1747.812518295057,1748.9905631945571,100.46754973415982,1669.08594958715,1844.6835380963973,175.59758850924732,1561.2678198787846,1867.4718267724402,1685.542085828204,1810.08295076191
F1,V2,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1,V2,EOER,10,0.8107800000000001,0.8109999999999999,0.0021243561115992017,0.8102,0.8117,0.0014999999999999458,0.8072,0.8147,0.8094633104407054,0.8120966895592947
F1,V2,LER,10,0.18922,0.189,0.0021243561115992064,0.1883,0.1898,0.0015000000000000013,0.1853,0.1928,0.18790331044070535,0.19053668955929465
F1,V2,RAF,10,1.25488,1.2558,0.005275267239149563,1.2498,1.2593,0.009500000000000064,1.2471,1.2617,1.251610355490611,1.258149644509389
F1,V2,DAF,10,0.8107800000000001,0.8109999999999999,0.0021243561115992017,0.8102,0.8117,0.0014999999999999458,0.8072,0.8147,0.8094633104407054,0.8120966895592947
F1,V2,RRR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1,V2,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1,V2,P95,10,69.96239999999999,66.405,19.480995087520558,60.010999999999996,79.094,19.083,47.044,112.376,57.88795414962921,82.03684585037077
F1,V2,P99,10,104.60350000000001,94.0255,38.35892259595181,87.508,104.946,17.438000000000002,67.358,192.722,80.82839345731195,128.3786065426881
F1,V2,throughput,10,959.1153683540679,982.6990123718236,110.78508401367432,909.6552472145129,1003.3493747557892,93.69412754127632,739.8032202566511,1100.4504357129422,890.4500618878293,1027.7806748203066
F1,V3,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1,V3,EOER,10,0.89846,0.89805,0.0015152557539900502,0.8976,0.8994,0.0018000000000000238,0.8961,0.9016,0.8975208347536243,0.8993991652463758
F1,V3,LER,10,0.10154,0.10195,0.0015152557539900656,0.1006,0.1024,0.00180000000000001,0.0984,0.1039,0.10060083475362427,0.10247916524637574
F1,V3,RAF,10,0.89846,0.89805,0.0015152557539900502,0.8976,0.8994,0.0018000000000000238,0.8961,0.9016,0.8975208347536243,0.8993991652463758
F1,V3,DAF,10,0.89846,0.89805,0.0015152557539900502,0.8976,0.8994,0.0018000000000000238,0.8961,0.9016,0.8975208347536243,0.8993991652463758
F1,V3,RRR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1,V3,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1,V3,P95,10,40.891200000000005,45.635999999999996,10.9940895616185,37.566,46.019,8.452999999999996,12.527,50.457,34.07699269233908,47.70540730766093
F1,V3,P99,10,50.6025,55.4845,13.5277302953764,50.874,56.604,5.729999999999997,14.459,61.361,42.217925896053046,58.98707410394695
F1,V3,throughput,10,1787.5680055660937,1803.1119557549814,62.83351161655429,1715.8583360105029,1837.0539959247862,121.1956599142834,1690.5436295912527,1859.4034664499973,1748.6233915874816,1826.5126195447058
F1,V4,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1,V4,EOER,10,0.80776,0.8086500000000001,0.0043400460827046445,0.8053,0.8105,0.005199999999999982,0.7986,0.814,0.8050700115687982,0.8104499884312019
F1,V4,LER,10,0.19224000000000002,0.19135000000000002,0.004340046082704653,0.1895,0.1947,0.00520000000000001,0.186,0.2014,0.18955001156879814,0.1949299884312019
F1,V4,RAF,10,1.2617099999999997,1.26105,0.013626807729211115,1.252,1.2655,0.013500000000000068,1.2474,1.2931,1.2532640170663467,1.2701559829336526
F1,V4,DAF,10,0.80776,0.8086500000000001,0.0043400460827046445,0.8053,0.8105,0.005199999999999982,0.7986,0.814,0.8050700115687982,0.8104499884312019
F1,V4,RRR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1,V4,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1,V4,P95,10,69.08330000000001,63.1865,18.574583698340774,57.388000000000005,71.04299999999999,13.654999999999987,54.117999999999995,111.73400000000001,57.570653749066615,80.5959462509334
F1,V4,P99,10,106.69420000000002,91.1315,43.400597975399165,82.589,96.461,13.872,76.44800000000001,210.24699999999999,79.79423068255149,133.59416931744857
F1,V4,throughput,10,944.0089970213285,981.7513670113765,106.31733374345625,956.4133550594145,1014.1436429142296,57.730287854815174,724.4969308706599,1032.820681983579,878.1128308617514,1009.9051631809056
F1,V5,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1,V5,EOER,10,0.8095399999999999,0.8088,0.0023903509737646924,0.808,0.8115,0.0034999999999999476,0.8063,0.8142,0.8080584451170776,0.8110215548829223
F1,V5,LER,10,0.19046,0.19119999999999998,0.0023903509737646872,0.1885,0.192,0.003500000000000003,0.1858,0.1937,0.18897844511707762,0.19194155488292236
F1,V5,RAF,10,1.26274,1.26165,0.0072576702720486335,1.259,1.2675,0.008500000000000174,1.2505,1.2753,1.2582416493610311,1.2672383506389688
F1,V5,DAF,10,0.8095399999999999,0.8088,0.0023903509737646924,0.808,0.8115,0.0034999999999999476,0.8063,0.8142,0.8080584451170776,0.8110215548829223
