failure_scenario,variant,failure_probability,concurrency,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
F3,V5,0.05,10,RAF,10,1.0491199999999998,1.0487,0.002548550786449267,1.0479,1.0516,0.0037000000000000366,1.0444,1.0522,1.0475403918573123,1.0506996081426874
F3,V5,0.05,10,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V5,0.05,10,P95,10,15.6363,14.6035,2.965017783345583,13.965,15.391,1.4260000000000002,12.562,22.058,13.798562938337962,17.474037061662038
F3,V5,0.05,10,P99,10,20.928,19.801,4.038822270580043,18.907,20.528,1.6209999999999987,16.324,29.633,18.424712021829425,23.431287978170577
F3,V5,0.05,50,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V5,0.05,50,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V5,0.05,50,RSR,10,0.05011,0.0504,0.0024973096635290443,0.0484,0.0513,0.0029,0.0454,0.0544,0.048562151434337904,0.0516578485656621
F3,V5,0.05,50,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V5,0.05,50,RAF,10,1.0501099999999999,1.0504,0.00249730966352901,1.0484,1.0513,0.0028999999999999027,1.0454,1.0544,1.0485621514343377,1.051657848565662
F3,V5,0.05,50,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V5,0.05,50,P95,10,65.83800000000001,65.72550000000001,3.28519869177565,64.119,66.966,2.846999999999994,60.245,72.922,63.80181275528557,67.87418724471445
F3,V5,0.05,50,P99,10,88.0816,88.0005,4.194845599065594,85.673,88.973,3.299999999999997,80.967,97.508,85.48160776094696,90.68159223905303
F3,V5,0.1,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V5,0.1,10,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V5,0.1,10,RSR,10,0.10060999999999998,0.10155,0.00303697583497502,0.0979,0.1023,0.004400000000000001,0.096,0.1056,0.09872766287586708,0.10249233712413287
F3,V5,0.1,10,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V5,0.1,10,RAF,10,1.10061,1.10155,0.003036975834974992,1.0979,1.1023,0.0043999999999999595,1.096,1.1056,1.0987276628758673,1.1024923371241329
F3,V5,0.1,10,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V5,0.1,10,P95,10,18.5707,18.439500000000002,1.6523558299860497,17.735999999999997,18.729,0.9930000000000021,16.265,21.523,17.54655924614848,19.594840753851518
F3,V5,0.1,10,P99,10,22.8583,21.9965,3.3209225977128707,21.544,22.618000000000002,1.0740000000000016,18.955,29.327,20.799970848988433,24.916629151011566
F3,V5,0.1,50,DER,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V5,0.1,50,EOER,70,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V5,0.1,50,RSR,70,0.07087428571428568,0.0975,0.04522465239518166,0.0,0.1007,0.1007,0.0,0.108,0.06027974122986051,0.08146883019871085
F3,V5,0.1,50,UAR,70,0.028761428571428573,0.0,0.04586022334099702,0.0,0.0974,0.0974,0.0,0.1143,0.018017992181774158,0.03950486496108299
F3,V5,0.1,50,RAF,70,1.1859199999999999,1.10115,0.1383904742470335,1.0976,1.3896,0.29200000000000004,1.0931,1.4572,1.1534999822004357,1.218340017799564
F3,V5,0.1,50,DAF,70,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V5,0.1,50,P95,70,103.63731428571425,77.485,54.57402617308322,68.787,121.69200000000001,52.905,34.009,258.343,90.85254055362218,116.42208801780633
F3,V5,0.1,50,P99,70,138.20367142857145,106.38000000000001,70.6028782401187,88.75800000000001,182.25400000000002,93.49600000000001,50.373000000000005,361.971,121.66390175367872,154.7434411034642
F3,V5,0.2,10,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V5,0.2,10,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V5,0.2,10,RSR,10,0.19966,0.19995000000000002,0.003726541440949119,0.1969,0.2012,0.004299999999999998,0.1955,0.2078,0.1973502656853126,0.2019697343146874
F3,V5,0.2,10,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
