failure_scenario,failure_probability,concurrency,variant,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
F4,0.01,50,V1,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.01,50,V1,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.01,50,V1,RAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F4,0.01,50,V1,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F4,0.01,50,V1,P95,10,42.5755,46.870000000000005,11.413742586607311,45.276,48.18,2.9039999999999964,13.015,49.909,35.50118905269401,49.64981094730599
F4,0.01,50,V1,throughput,10,1624.69888172105,1625.4764087845106,77.88963514371757,1586.4368797071002,1646.7272940852774,60.290414378177275,1480.7985522412685,1775.1329433346177,1576.4223856990156,1672.9753777430842
F4,0.01,50,V2,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.01,50,V2,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F4,0.01,50,V2,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.01,50,V2,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.01,50,V2,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F4,0.01,50,V2,RAF,10,1.01009,1.0101499999999999,0.0007950541560869329,1.0096,1.0107,0.0010999999999998789,1.0087,1.0114,1.009597220328702,1.0105827796712978
F4,0.01,50,V2,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F4,0.01,50,V2,P95,10,25.9024,26.0385,2.5162587395664304,24.031,28.363,4.332000000000001,21.513,29.423,24.342806675330465,27.461993324669535
F4,0.01,50,V2,throughput,10,1061.8668786043404,1064.2909729715946,41.64159462662223,1023.8330772146085,1081.990155222346,58.15707800773748,1012.6065447303781,1145.7619645798366,1036.0571508577157,1087.6766063509651
F4,0.01,50,V3,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
