failure_scenario,variant,duplicate_fanout,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
F11,V0,10,DER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F11,V0,10,RAF,10,11.0,11.0,0.0,11.0,11.0,0.0,11.0,11.0,11.0,11.0
F11,V0,10,DAF,10,11.0,11.0,0.0,11.0,11.0,0.0,11.0,11.0,11.0,11.0
F11,V0,10,RRR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F11,V0,10,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F11,V0,10,P95,10,194.99269999999999,192.994,4.346644505311612,192.139,197.583,5.443999999999988,191.238,203.71200000000002,192.29862182409525,197.68677817590472
F11,V0,10,P99,10,253.8583,243.519,29.069971154096468,240.817,253.13300000000004,12.316000000000031,234.12,333.15200000000004,235.84054520898167,271.87605479101836
F11,V0,10,throughput,10,73.90220855179248,74.39732672939904,2.6212189374800827,73.67630913320926,74.90732047347632,1.2310113402670595,69.30150335707162,77.70357399936815,72.27756022246538,75.52685688111958
F11,V0,2,DER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F11,V0,2,RAF,10,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0
F11,V0,2,DAF,10,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0
F11,V0,2,RRR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F11,V0,2,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F11,V0,2,P95,10,54.2,54.7975,3.0041979887410135,53.171,55.522999999999996,2.3519999999999968,46.911,58.681,52.33797879544238,56.062021204557624
F11,V0,2,P99,10,67.3271,68.19200000000001,4.184136428888948,64.816,69.92699999999999,5.11099999999999,59.253,72.513,64.73374537339025,69.92045462660975
F11,V0,2,throughput,10,288.2600239850235,284.77864226741644,24.801577391367857,280.64964278144856,288.0501582457866,7.400515464338014,254.81260189183368,353.2154814325031,272.8878470571782,303.6322009128688
F11,V0,5,DER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
