group,workload,failure_scenario,variant,downstream_capability,failure_probability,concurrency,duplicate_fanout,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
group_a_baseline,create_order,F0,V2,C1,0.0,100,,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V2,C1,0.0,100,,P50,10,56.14670000000001,56.46,30.192055316479088,40.887,68.658,27.771,14.506,106.067,37.433470239793536,74.85992976020648
group_a_baseline,create_order,F0,V2,C1,0.0,100,,P95,10,120.0386,107.83699999999999,47.29951550656259,103.279,116.954,13.674999999999997,65.373,211.481,90.72205656025463,149.35514343974538
group_a_baseline,create_order,F0,V2,C1,0.0,100,,P99,10,153.9923,134.98649999999998,57.03319716338702,125.68,141.119,15.438999999999993,104.867,274.375,118.64275816555956,189.34184183444046
group_a_baseline,create_order,F0,V2,C1,0.0,100,,throughput,10,1247.3075759009294,1328.4118901143984,207.46206407068544,1116.8229271122693,1375.5580461460045,258.73511903373515,860.8633127161867,1507.922364092708,1118.721256394472,1375.8938954073867
group_a_baseline,create_order,F0,V2,C1,0.0,50,,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V2,C1,0.0,50,,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V2,C1,0.0,50,,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V2,C1,0.0,50,,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V2,C1,0.0,50,,RAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V2,C1,0.0,50,,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V2,C1,0.0,50,,RRR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V2,C1,0.0,50,,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V2,C1,0.0,50,,P50,10,30.6453,34.3705,7.544622721588609,27.921,34.741,6.82,13.086,37.435,25.96909439017183,35.321505609828165
group_a_baseline,create_order,F0,V2,C1,0.0,50,,P95,10,53.84930000000001,54.8205,6.401254148819415,53.394,56.435,3.041000000000004,37.906,62.263,49.88176157359314,57.816838426406875
group_a_baseline,create_order,F0,V2,C1,0.0,50,,P99,10,68.2698,65.626,11.990780947600259,64.572,70.004,5.432000000000002,48.171,93.036,60.83783697116049,75.70176302883951
group_a_baseline,create_order,F0,V2,C1,0.0,50,,throughput,10,1239.1850251109315,1368.4609872510514,426.19071228559017,1299.3622341066043,1401.9231159396966,102.56088183309225,38.164108273358146,1486.9667276134667,975.0292848982652,1503.3407653235977
group_a_baseline,create_order,F0,V3,C1,0.0,1,,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V3,C1,0.0,1,,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V3,C1,0.0,1,,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V3,C1,0.0,1,,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V3,C1,0.0,1,,RAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V3,C1,0.0,1,,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V3,C1,0.0,1,,RRR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V3,C1,0.0,1,,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V3,C1,0.0,1,,P50,10,6.279999999999999,6.1,0.8377416732568048,5.585,6.64,1.0549999999999997,5.523,8.128,5.760762331446913,6.7992376685530855
group_a_baseline,create_order,F0,V3,C1,0.0,1,,P95,10,7.7595,7.2885,1.3436121505520524,6.832,7.944,1.112,6.747,10.961,6.926720561226176,8.592279438773824
group_a_baseline,create_order,F0,V3,C1,0.0,1,,P99,10,8.9132,8.259,1.5539315586244105,7.769,9.531,1.7620000000000005,7.654,12.002,7.950063241559354,9.876336758440646
group_a_baseline,create_order,F0,V3,C1,0.0,1,,throughput,10,158.2071226186225,162.1426476917008,19.852513777597864,148.23210229216096,175.452590114143,27.220487821982033,117.70291784926748,177.34426941331972,145.9024070984743,170.51183813877068
group_a_baseline,create_order,F0,V3,C1,0.0,10,,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V3,C1,0.0,10,,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V3,C1,0.0,10,,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V3,C1,0.0,10,,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V3,C1,0.0,10,,RAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V3,C1,0.0,10,,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
group_a_baseline,create_order,F0,V3,C1,0.0,10,,RRR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V3,C1,0.0,10,,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
group_a_baseline,create_order,F0,V3,C1,0.0,10,,P50,10,7.347999999999999,7.109500000000001,0.8232565416280232,6.968,7.26,0.2919999999999998,6.289,8.931,6.837740309045155,7.858259690954843
group_a_baseline,create_order,F0,V3,C1,0.0,10,,P95,10,10.5583,9.534,2.3331588053776176,9.35,10.445,1.0950000000000006,8.55,15.179,9.112193190297326,12.004406809702672
