group,failure_scenario,variant,metric,seed_count,min_seed_mean,max_seed_mean,all_seeds_nonzero,zero_seed_count
group_d_capability,F8,V3,DER,10,0.0,0.0,False,10
group_d_capability,F8,V3,UAR,10,0.0,0.0,False,10
group_d_capability,F8,V3,DAF,10,1.3822,1.4104,True,0
group_d_capability,F8,V3,P95,10,45.197,78.50649999999999,True,0
group_b_ambiguous,F9,V3,DER,10,0.0,0.0,False,10
group_b_ambiguous,F9,V3,UAR,10,0.0,0.0,False,10
group_b_ambiguous,F9,V3,DAF,10,1.0,1.0,True,0
group_b_ambiguous,F9,V3,P95,10,22.960625,34.610875,True,0
group_d_capability,F3,V4,DER,10,0.0,0.0,False,10
group_d_capability,F3,V4,UAR,10,0.098,0.10156666666666667,True,0
group_d_capability,F3,V4,DAF,10,1.0,1.0,True,0
group_d_capability,F3,V4,P95,10,50.068666666666665,103.902,True,0
group_d_capability,F8,V4,DER,10,0.0,0.0,False,10
group_d_capability,F8,V4,UAR,10,0.0983,0.1029,True,0
group_d_capability,F8,V4,DAF,10,1.0,1.0,True,0
group_d_capability,F8,V4,P95,10,20.093333333333334,28.132666666666665,True,0
group_a_baseline,F0,V4,DER,10,0.0,0.0,False,10
group_a_baseline,F0,V4,UAR,10,0.0,0.0,False,10
group_a_baseline,F0,V4,DAF,10,1.0,1.0,True,0
group_a_baseline,F0,V4,P95,10,43.77575,60.45425,True,0
group_c_duplicates,F11,V4,DER,10,0.0,0.0,False,10
group_c_duplicates,F11,V4,UAR,10,0.0,0.0,False,10
group_c_duplicates,F11,V4,DAF,10,1.0,1.0,True,0
group_c_duplicates,F11,V4,P95,10,106.98633333333333,116.74366666666667,True,0
group_e_safe_controls,F1,V4,DER,10,0.0,0.0,False,10
group_e_safe_controls,F1,V4,UAR,10,0.0,0.0,False,10
group_e_safe_controls,F1,V4,DAF,10,0.7986,0.814,True,0
group_e_safe_controls,F1,V4,P95,10,54.117999999999995,111.73400000000001,True,0
group_e_safe_controls,F2,V4,DER,10,0.0,0.0,False,10
group_e_safe_controls,F2,V4,UAR,10,0.0,0.0,False,10
group_e_safe_controls,F2,V4,DAF,10,0.8938,0.9045,True,0
group_e_safe_controls,F2,V4,P95,10,50.577999999999996,123.138,True,0
group_b_ambiguous,F3,V4,DER,10,0.0,0.0,False,10
group_b_ambiguous,F3,V4,UAR,10,0.0887625,0.091225,True,0
group_b_ambiguous,F3,V4,DAF,10,1.0,1.0,True,0
group_b_ambiguous,F3,V4,P95,10,28.142875,39.536,True,0
group_b_ambiguous,F4,V4,DER,10,0.0,0.0,False,10
group_b_ambiguous,F4,V4,UAR,10,0.0,0.0,False,10
group_b_ambiguous,F4,V4,DAF,10,1.0,1.0,True,0
group_b_ambiguous,F4,V4,P95,10,1028.379625,1405.679625,True,0
group_c_duplicates,F5,V4,DER,10,0.0,0.0,False,10
group_c_duplicates,F5,V4,UAR,10,0.0,0.0,False,10
group_c_duplicates,F5,V4,DAF,10,1.0,1.0,True,0
group_c_duplicates,F5,V4,P95,10,84.68233333333333,121.45533333333333,True,0
group_c_duplicates,F6,V4,DER,10,0.0,0.0,False,10
group_c_duplicates,F6,V4,UAR,10,0.0,0.0,False,10
group_c_duplicates,F6,V4,DAF,10,0.9901,1.0,True,0
group_c_duplicates,F6,V4,P95,10,101.43933333333334,6772.891000000001,True,0
group_e_safe_controls,F7,V4,DER,10,0.0,0.0,False,10
group_e_safe_controls,F7,V4,UAR,10,0.0,0.0,False,10
group_e_safe_controls,F7,V4,DAF,10,0.8953,0.9066,True,0
group_e_safe_controls,F7,V4,P95,10,51.252,121.78299999999999,True,0
group_b_ambiguous,F8,V4,DER,10,0.0,0.0,False,10
group_b_ambiguous,F8,V4,UAR,10,0.0888625,0.0915125,True,0
group_b_ambiguous,F8,V4,DAF,10,1.0,1.0,True,0
group_b_ambiguous,F8,V4,P95,10,24.899625,33.98675,True,0
group_b_ambiguous,F9,V4,DER,10,0.0,0.0,False,10
