failure,variant,concurrency,probability,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
F3,V3,10,0.05,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,10,0.05,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V3,10,0.05,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,10,0.05,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,10,0.05,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,10,0.05,RAF,10,1.19892,1.2004000000000001,0.010312538215417425,1.1888,1.208,0.019199999999999884,1.182,1.2108,1.1925282225932234,1.2053117774067765
F3,V3,10,0.05,DAF,10,1.19892,1.2004000000000001,0.010312538215417425,1.1888,1.208,0.019199999999999884,1.182,1.2108,1.1925282225932234,1.2053117774067765
F3,V3,10,0.1,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,10,0.1,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V3,10,0.1,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,10,0.1,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,10,0.1,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,10,0.1,RAF,10,1.40296,1.4038,0.006926150125109622,1.3968,1.4064,0.009600000000000053,1.3912,1.4144,1.3986671276769251,1.4072528723230748
F3,V3,10,0.1,DAF,10,1.40296,1.4038,0.006926150125109622,1.3968,1.4064,0.009600000000000053,1.3912,1.4144,1.3986671276769251,1.4072528723230748
F3,V3,10,0.2,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,10,0.2,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V3,10,0.2,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,10,0.2,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,10,0.2,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,10,0.2,RAF,10,1.8057200000000002,1.8044,0.013194005372811459,1.7976,1.8116,0.014000000000000012,1.7884,1.8344,1.797542270746038,1.8138977292539624
F3,V3,10,0.2,DAF,10,1.8057200000000002,1.8044,0.013194005372811459,1.7976,1.8116,0.014000000000000012,1.7884,1.8344,1.797542270746038,1.8138977292539624
F3,V3,50,0.01,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,50,0.01,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
F3,V3,50,0.01,LER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,50,0.01,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,50,0.01,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F3,V3,50,0.01,RAF,10,1.0398400000000003,1.039,0.003161996556326728,1.038,1.0424,0.0043999999999999595,1.0344,1.0448,1.0378801742299664,1.0417998257700343
F3,V3,50,0.01,DAF,10,1.0398400000000003,1.039,0.003161996556326728,1.038,1.0424,0.0043999999999999595,1.0344,1.0448,1.0378801742299664,1.0417998257700343
