experiment_id,group,workload,variant,downstream_capability,failure_scenario,failure_probability,concurrency,duplicate_fanout,retry_fanout,seed,operations,warmup_operations,DER,EOER,LER,RSR,RAF,DAF,RRR,UAR,P50,P95,P99,throughput,selected_for_fault,reached_fault_hook,fault_injected,logical_operations,total_attempts,total_downstream_calls,total_effects,duplicate_operations,exactly_once_operations,zero_effect_operations,unknown_operations,reconciled_operations,replayed_operations,run_dir,final_validation_status
CHARGEPAYMENT_V2_C1_F8_P10_C50_S7006,group_f_generalization,charge_payment,V2,C1,F8,0.1,50,,,7006,10000,1000,0.0,1.0,0.0,0.0,1.3904,1.0,0.0,0.0976,7.41,20.077,25.802,721.8647323195501,978,10000,10000,10000,13904,10000,10000,0,10000,0,976,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7006/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7006_1788685605953,PASS
CHARGEPAYMENT_V2_C1_F8_P10_C50_S7007,group_f_generalization,charge_payment,V2,C1,F8,0.1,50,,,7007,10000,1000,0.0,1.0,0.0,0.0,1.3896,1.0,0.0,0.0974,7.118,20.093,26.384999999999998,721.9329947057781,982,10000,10000,10000,13896,10000,10000,0,10000,0,974,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7007/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7007_1788685716072,PASS
CHARGEPAYMENT_V2_C1_F8_P10_C50_S7008,group_f_generalization,charge_payment,V2,C1,F8,0.1,50,,,7008,10000,1000,0.0,1.0,0.0,0.0,1.376,1.0,0.0,0.094,7.097,19.376,24.293,750.3698219625271,981,10000,10000,10000,13760,10000,10000,0,10000,0,940,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7008/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7008_1788685850157,PASS
CHARGEPAYMENT_V2_C1_F8_P10_C50_S7009,group_f_generalization,charge_payment,V2,C1,F8,0.1,50,,,7009,10000,1000,0.0,1.0,0.0,0.0,1.3912,1.0,0.0,0.0978,7.149,19.753,24.544999999999998,726.4771401973969,1012,10000,10000,10000,13912,10000,10000,0,10000,0,978,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7009/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7009_1788685984072,PASS
CHARGEPAYMENT_V4_C1_F3_P10_C50_S7000,group_f_generalization,charge_payment,V4,C1,F3,0.1,50,,,7000,10000,1000,0.0,1.0,0.0,0.0,1.4104,1.0,0.0,0.1026,14.695,50.025,66.755,949.4100921406562,987,10000,10000,10000,14104,10000,10000,0,10000,0,1026,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7000/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7000_1788684849310,PASS
CHARGEPAYMENT_V4_C1_F3_P10_C50_S7001,group_f_generalization,charge_payment,V4,C1,F3,0.1,50,,,7001,10000,1000,0.0,1.0,0.0,0.0,1.4012,1.0,0.0,0.1003,13.07,40.373,56.482,1023.7186523225295,988,10000,10000,10000,14012,10000,10000,0,10000,0,1003,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7001/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7001_1788684981663,PASS
CHARGEPAYMENT_V4_C1_F3_P10_C50_S7002,group_f_generalization,charge_payment,V4,C1,F3,0.1,50,,,7002,10000,1000,0.0,1.0,0.0,0.0,1.4064,1.0,0.0,0.1016,19.901,75.291,134.06900000000002,811.9030058771981,995,10000,10000,10000,14064,10000,10000,0,10000,0,1016,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7002/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7002_1788685111687,PASS
CHARGEPAYMENT_V4_C1_F3_P10_C50_S7003,group_f_generalization,charge_payment,V4,C1,F3,0.1,50,,,7003,10000,1000,0.0,1.0,0.0,0.0,1.4064,1.0,0.0,0.1016,33.251,100.472,180.60199999999998,660.1410405420143,1030,10000,10000,10000,14064,10000,10000,0,10000,0,1016,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7003/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7003_1788685223827,PASS
CHARGEPAYMENT_V4_C1_F3_P10_C50_S7004,group_f_generalization,charge_payment,V4,C1,F3,0.1,50,,,7004,10000,1000,0.0,1.0,0.0,0.0,1.3932,1.0,0.0,0.0983,12.61,38.837999999999994,52.754000000000005,1049.0145930013339,1023,10000,10000,10000,13932,10000,10000,0,10000,0,983,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7004/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7004_1788685364681,PASS
CHARGEPAYMENT_V4_C1_F3_P10_C50_S7005,group_f_generalization,charge_payment,V4,C1,F3,0.1,50,,,7005,10000,1000,0.0,1.0,0.0,0.0,1.3792,1.0,0.0,0.0948,15.988,54.117,77.03600000000002,969.6252348754975,1007,10000,10000,10000,13792,10000,10000,0,10000,0,948,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7005/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7005_1788685489637,PASS
CHARGEPAYMENT_V4_C1_F3_P10_C50_S7006,group_f_generalization,charge_payment,V4,C1,F3,0.1,50,,,7006,10000,1000,0.0,1.0,0.0,0.0,1.42,1.0,0.0,0.105,13.068,41.897999999999996,59.534,985.2657538248338,1034,10000,10000,10000,14200,10000,10000,0,10000,0,1050,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7006/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7006_1788685622417,PASS
CHARGEPAYMENT_V4_C1_F3_P10_C50_S7007,group_f_generalization,charge_payment,V4,C1,F3,0.1,50,,,7007,10000,1000,0.0,1.0,0.0,0.0,1.3908,1.0,0.0,0.0977,24.777,94.077,175.476,744.2515173450381,991,10000,10000,10000,13908,10000,10000,0,10000,0,977,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7007/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7007_1788685753202,PASS
CHARGEPAYMENT_V4_C1_F3_P10_C50_S7008,group_f_generalization,charge_payment,V4,C1,F3,0.1,50,,,7008,10000,1000,0.0,1.0,0.0,0.0,1.3972,1.0,0.0,0.0993,13.925,45.272,66.501,990.8081682598214,968,10000,10000,10000,13972,10000,10000,0,10000,0,993,0,0,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7008/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7008_1788685865664,PASS
