workload,failure_scenario,variant,metric,n,mean,median,std,Q1,Q3,IQR,min,max,CI_low,CI_high
reserve_inventory,F3,V0,throughput,10,984.4030419489794,1012.9463455236873,71.48568643983768,976.8087158930932,1028.0519452634617,51.243229370368454,835.8033311183692,1042.2590243920138,940.0957544558813,1028.7103294420774
reserve_inventory,F3,V2,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reserve_inventory,F3,V2,EOER,10,0.99954,1.0,0.0014546477236774698,1.0,1.0,0.0,0.9954,1.0,0.9986383999999999,1.0004416
reserve_inventory,F3,V2,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reserve_inventory,F3,V2,UAR,10,0.10052000000000001,0.10005,0.0033937196898585096,0.0992,0.1014,0.0022000000000000075,0.0956,0.1087,0.09841655074381785,0.10262344925618218
reserve_inventory,F3,V2,RAF,10,1.41294,1.4028,0.029811563751895608,1.398,1.4072,0.009200000000000097,1.392,1.491,1.3944626013548083,1.431417398645192
reserve_inventory,F3,V2,DAF,10,0.99954,1.0,0.0014546477236774698,1.0,1.0,0.0,0.9954,1.0,0.9986383999999999,1.0004416
reserve_inventory,F3,V2,P95,10,63.17100000000001,59.417500000000004,10.835861274285286,54.429,74.73,20.301000000000002,52.088,83.076,56.454863600874226,69.8871363991258
reserve_inventory,F3,V2,throughput,10,880.2742850860626,896.7653494057557,69.71214792872877,794.2091391167804,933.0478571030217,138.83871798624125,771.5595010362227,971.1176193348516,837.0662481507376,923.4823220213876
reserve_inventory,F3,V4,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reserve_inventory,F3,V4,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
reserve_inventory,F3,V4,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reserve_inventory,F3,V4,UAR,10,0.09941,0.099,0.0024419709707984316,0.0977,0.1018,0.004100000000000006,0.0957,0.1024,0.09789645071144383,0.10092354928855617
reserve_inventory,F3,V4,RAF,10,1.39764,1.396,0.009767883883193692,1.3908,1.4072,0.01639999999999997,1.3828,1.4096,1.3915858028457753,1.4036941971542247
reserve_inventory,F3,V4,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
reserve_inventory,F3,V4,P95,10,56.8759,54.6425,14.183845493690665,44.525000000000006,59.016,14.490999999999993,42.638999999999996,83.161,48.08466148296433,65.66713851703568
reserve_inventory,F3,V4,throughput,10,919.2753422073278,927.1495512030299,84.13463930736789,917.7659476095592,979.4654789947788,61.69953138521953,764.8122165611054,1007.2600075579851,867.1281525030371,971.4225319116184
reserve_inventory,F3,V5,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reserve_inventory,F3,V5,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
reserve_inventory,F3,V5,RSR,10,0.09824999999999999,0.09820000000000001,0.0019091883092036768,0.0965,0.0993,0.002799999999999997,0.096,0.1021,0.0970666728263071,0.09943332717369288
reserve_inventory,F3,V5,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reserve_inventory,F3,V5,RAF,10,1.09825,1.0982,0.0019091883092036792,1.0965,1.0993,0.0027999999999999137,1.096,1.1021,1.097066672826307,1.099433327173693
reserve_inventory,F3,V5,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
reserve_inventory,F3,V5,P95,10,72.44770000000001,69.979,19.018073649674523,59.735,75.352,15.617000000000004,44.59,104.455,60.66017582940669,84.23522417059333
reserve_inventory,F3,V5,throughput,10,1145.0110527752909,1191.097959845396,125.1546106220187,1173.9391412930117,1211.246180331608,37.30703903859626,909.2256454064119,1254.365512604443,1067.4394214448228,1222.582684105759
reserve_inventory,F8,V0,DER,10,0.09852000000000001,0.09805,0.0024045327566447876,0.0968,0.1003,0.003500000000000003,0.0955,0.1022,0.09702965515698175,0.10001034484301827
reserve_inventory,F8,V0,EOER,10,0.9014800000000001,0.90195,0.0024045327566447716,0.8997,0.9032,0.0034999999999999476,0.8978,0.9045,0.8999896551569818,0.9029703448430183
reserve_inventory,F8,V0,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reserve_inventory,F8,V0,UAR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reserve_inventory,F8,V0,RAF,10,1.39408,1.3921999999999999,0.009618131026579161,1.3872,1.4012,0.014000000000000012,1.382,1.4088,1.388118620627927,1.400041379372073
reserve_inventory,F8,V0,DAF,10,1.39408,1.3921999999999999,0.009618131026579161,1.3872,1.4012,0.014000000000000012,1.382,1.4088,1.388118620627927,1.400041379372073
reserve_inventory,F8,V0,P95,10,56.8338,60.963499999999996,11.042233608589642,46.451,64.602,18.151000000000003,40.509,70.5,49.98975270287451,63.67784729712548
reserve_inventory,F8,V0,throughput,10,1017.4220489787889,995.5302350433478,54.51972100211417,974.3576436684829,1055.6274594758663,81.26981580738345,962.8812092727785,1116.9557518918832,983.6303758091236,1051.2137221484543
reserve_inventory,F8,V2,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reserve_inventory,F8,V2,EOER,10,0.9982099999999999,1.0,0.005660477011701408,1.0,1.0,0.0,0.9821,1.0,0.9947016,1.0017184
reserve_inventory,F8,V2,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reserve_inventory,F8,V2,UAR,10,0.09731,0.09935,0.008980033407510241,0.0982,0.1015,0.0033000000000000113,0.0724,0.1041,0.09174411762970146,0.10287588237029853
reserve_inventory,F8,V2,RAF,10,1.42466,1.4,0.07741605058958308,1.3952,1.4076,0.012399999999999967,1.3888,1.6438,1.376677034725691,1.4726429652743092
reserve_inventory,F8,V2,DAF,10,0.9982099999999999,1.0,0.005660477011701408,1.0,1.0,0.0,0.9821,1.0,0.9947016,1.0017184
reserve_inventory,F8,V2,P95,10,25.064600000000002,21.6855,9.675799148161122,20.881,24.291,3.41,20.762,52.32299999999999,19.067477555860798,31.061722444139207
reserve_inventory,F8,V2,throughput,10,687.1105404675341,695.7188768461886,32.06407219581573,681.4008736017774,705.3378484015948,23.936974799817335,602.784920299688,716.6134285741622,667.2370226245587,706.9840583105095
reserve_inventory,F8,V4,DER,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reserve_inventory,F8,V4,EOER,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
reserve_inventory,F8,V4,RSR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reserve_inventory,F8,V4,UAR,10,0.09972,0.0983,0.0028259904851613035,0.0977,0.1015,0.0038000000000000117,0.097,0.1056,0.0979684329505015,0.1014715670494985
reserve_inventory,F8,V4,RAF,10,1.3988800000000001,1.3932,0.011303961940645257,1.3908,1.406,0.01519999999999988,1.388,1.4224,1.391873731802006,1.4058862681979942
reserve_inventory,F8,V4,DAF,10,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
reserve_inventory,F8,V4,P95,10,22.412,21.999499999999998,1.3883838726295312,21.422,22.945,1.5229999999999997,20.848,25.24,21.55147076038573,23.27252923961427
