experiment_id,run_dir,DER_delta,EOER_delta,LER_delta,RSR_delta,RAF_delta,DAF_delta,RRR_delta,UAR_delta,P50_delta,P95_delta,P99_delta,throughput_recomputed_from_event_span,throughput_summary,logical_operations_delta,PASS_FAIL
CHARGEPAYMENT_V2_C1_F8_P10_C50_S7005,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7005/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7005_1788685473282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718.4995513985872,634.620694851729,0,PASS
CHARGEPAYMENT_V2_C1_F8_P10_C50_S7006,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7006/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7006_1788685605953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,721.8647323195501,630.6110960444305,0,PASS
CHARGEPAYMENT_V2_C1_F8_P10_C50_S7007,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7007/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7007_1788685716072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,721.9329947057781,638.5748310773032,0,PASS
CHARGEPAYMENT_V2_C1_F8_P10_C50_S7008,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7008/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7008_1788685850157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.3698219625271,670.9583881900174,0,PASS
CHARGEPAYMENT_V2_C1_F8_P10_C50_S7009,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7009/CHARGEPAYMENT_V2_C1_F8_P10_C50_S7009_1788685984072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,726.4771401973969,639.4213927177072,0,PASS
CHARGEPAYMENT_V4_C1_F3_P10_C50_S7000,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7000/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7000_1788684849310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,949.4100921406562,825.7324630552356,0,PASS
CHARGEPAYMENT_V4_C1_F3_P10_C50_S7001,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7001/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7001_1788684981663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023.7186523225295,890.1174099460758,0,PASS
CHARGEPAYMENT_V4_C1_F3_P10_C50_S7002,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7002/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7002_1788685111687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,811.9030058771981,650.2450706732916,0,PASS
CHARGEPAYMENT_V4_C1_F3_P10_C50_S7003,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7003/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7003_1788685223827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.1410405420143,599.7895025854574,0,PASS
CHARGEPAYMENT_V4_C1_F3_P10_C50_S7004,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7004/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7004_1788685364681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1049.0145930013339,907.8408933026393,0,PASS
CHARGEPAYMENT_V4_C1_F3_P10_C50_S7005,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7005/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7005_1788685489637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,969.6252348754975,843.9692275788428,0,PASS
CHARGEPAYMENT_V4_C1_F3_P10_C50_S7006,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7006/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7006_1788685622417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985.2657538248338,851.3653995794024,0,PASS
CHARGEPAYMENT_V4_C1_F3_P10_C50_S7007,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7007/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7007_1788685753202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744.2515173450381,605.5188275637544,0,PASS
CHARGEPAYMENT_V4_C1_F3_P10_C50_S7008,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7008/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7008_1788685865664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,990.8081682598214,869.0797996752563,0,PASS
CHARGEPAYMENT_V4_C1_F3_P10_C50_S7009,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7009/CHARGEPAYMENT_V4_C1_F3_P10_C50_S7009_1788686000355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.8249499305681,892.3612477769709,0,PASS
CHARGEPAYMENT_V4_C1_F8_P10_C50_S7000,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V4_C1_F8_P10_C50_S7000/CHARGEPAYMENT_V4_C1_F8_P10_C50_S7000_1788684869043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,693.184477495118,622.6466231343425,0,PASS
CHARGEPAYMENT_V4_C1_F8_P10_C50_S7001,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V4_C1_F8_P10_C50_S7001/CHARGEPAYMENT_V4_C1_F8_P10_C50_S7001_1788684993496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679.7979172430173,604.8188949608971,0,PASS
CHARGEPAYMENT_V4_C1_F8_P10_C50_S7002,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V4_C1_F8_P10_C50_S7002/CHARGEPAYMENT_V4_C1_F8_P10_C50_S7002_1788685127674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692.3462166863483,614.839889720905,0,PASS
CHARGEPAYMENT_V4_C1_F8_P10_C50_S7003,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V4_C1_F8_P10_C50_S7003/CHARGEPAYMENT_V4_C1_F8_P10_C50_S7003_1788685241132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692.6033261936291,621.1328250621635,0,PASS
CHARGEPAYMENT_V4_C1_F8_P10_C50_S7004,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V4_C1_F8_P10_C50_S7004/CHARGEPAYMENT_V4_C1_F8_P10_C50_S7004_1788685376305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,716.0162174625029,631.5023826797203,0,PASS
CHARGEPAYMENT_V4_C1_F8_P10_C50_S7005,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V4_C1_F8_P10_C50_S7005/CHARGEPAYMENT_V4_C1_F8_P10_C50_S7005_1788685509148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,688.8521644485286,622.7565167028,0,PASS
CHARGEPAYMENT_V4_C1_F8_P10_C50_S7006,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V4_C1_F8_P10_C50_S7006/CHARGEPAYMENT_V4_C1_F8_P10_C50_S7006_1788685634832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,704.1999645944384,620.7433361431995,0,PASS
CHARGEPAYMENT_V4_C1_F8_P10_C50_S7007,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V4_C1_F8_P10_C50_S7007/CHARGEPAYMENT_V4_C1_F8_P10_C50_S7007_1788685770337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.8816974832476,663.2061851242725,0,PASS
CHARGEPAYMENT_V4_C1_F8_P10_C50_S7008,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V4_C1_F8_P10_C50_S7008/CHARGEPAYMENT_V4_C1_F8_P10_C50_S7008_1788685877786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,684.8605836600908,611.6284956632135,0,PASS
CHARGEPAYMENT_V4_C1_F8_P10_C50_S7009,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V4_C1_F8_P10_C50_S7009/CHARGEPAYMENT_V4_C1_F8_P10_C50_S7009_1788686012183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,699.0519715636802,612.6639652004045,0,PASS
CHARGEPAYMENT_V5_C2_F3_P10_C50_S7000,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V5_C2_F3_P10_C50_S7000/CHARGEPAYMENT_V5_C2_F3_P10_C50_S7000_1788684885704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350.1868910797486,1162.2544517090705,0,PASS
CHARGEPAYMENT_V5_C2_F3_P10_C50_S7001,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V5_C2_F3_P10_C50_S7001/CHARGEPAYMENT_V5_C2_F3_P10_C50_S7001_1788685010625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1260.7022678732621,1086.1146755567281,0,PASS
CHARGEPAYMENT_V5_C2_F3_P10_C50_S7002,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V5_C2_F3_P10_C50_S7002/CHARGEPAYMENT_V5_C2_F3_P10_C50_S7002_1788685144549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1273.3397971237662,1105.9760753631415,0,PASS
CHARGEPAYMENT_V5_C2_F3_P10_C50_S7003,/Users/nischithacn/paper3-exactly-once/results/phase6/runs/CHARGEPAYMENT_V5_C2_F3_P10_C50_S7003/CHARGEPAYMENT_V5_C2_F3_P10_C50_S7003_1788685279553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941.7259809248974,752.1340840596143,0,PASS
