experiment_id,metric,observed_value,group_distribution_context,possible_infrastructure_note
CREATEORDER_V0_C0_F5_P0_C50_FAN2_S7006,P95,57.634,"('group_c_duplicates', 'F5', 'V0', 50);Q1=84.965;Q3=93.97;IQR=9.004999999999995",
CREATEORDER_V0_C0_F5_P0_C50_FAN5_S7000,P95,71.432,"('group_c_duplicates', 'F5', 'V0', 50);Q1=84.965;Q3=93.97;IQR=9.004999999999995",
CREATEORDER_V0_C0_F5_P0_C50_FAN5_S7004,P95,38.056,"('group_c_duplicates', 'F5', 'V0', 50);Q1=84.965;Q3=93.97;IQR=9.004999999999995",
CREATEORDER_V0_C0_F5_P0_C50_FAN10_S7001,P99,174.322,"('group_c_duplicates', 'F5', 'V0', 50);Q1=97.971;Q3=109.557;IQR=11.585999999999999",
CREATEORDER_V0_C0_F5_P0_C50_FAN10_S7006,P99,186.332,"('group_c_duplicates', 'F5', 'V0', 50);Q1=97.971;Q3=109.557;IQR=11.585999999999999",
CREATEORDER_V0_C0_F5_P0_C50_FAN2_S7000,P99,163.832,"('group_c_duplicates', 'F5', 'V0', 50);Q1=97.971;Q3=109.557;IQR=11.585999999999999",
CREATEORDER_V0_C0_F5_P0_C50_FAN2_S7005,P99,177.003,"('group_c_duplicates', 'F5', 'V0', 50);Q1=97.971;Q3=109.557;IQR=11.585999999999999",
CREATEORDER_V0_C0_F5_P0_C50_FAN5_S7004,P99,57.556,"('group_c_duplicates', 'F5', 'V0', 50);Q1=97.971;Q3=109.557;IQR=11.585999999999999",
CREATEORDER_V0_C0_F5_P0_C50_FAN10_S7000,throughput,877.8997555098712,"('group_c_duplicates', 'F5', 'V0', 50);Q1=722.7059028817421;Q3=781.3731315167109;IQR=58.667228634968865",
CREATEORDER_V0_C0_F5_P0_C50_FAN10_S7006,throughput,619.9256137269547,"('group_c_duplicates', 'F5', 'V0', 50);Q1=722.7059028817421;Q3=781.3731315167109;IQR=58.667228634968865",
CREATEORDER_V0_C0_F5_P0_C50_FAN2_S7005,throughput,628.9611634284363,"('group_c_duplicates', 'F5', 'V0', 50);Q1=722.7059028817421;Q3=781.3731315167109;IQR=58.667228634968865",
